date	student_id	languages	best_language	app_experience	tech_experience
8/28/2018 9:16:25	4610813.6926434	Java, C#, Swift, JS, Ruby, Python, C++, ...	Java, swift, JS, Ruby	Command line applications, Desktop GUI applications, Web Front-End Applications, Web Back-End Applications, Server-side Applications, Mobile Applications	Object Oriented Programming, Object Oriented Programming - Advanced, Unified Modeling Langauge, Web Design, Database Design, Regular Expressions, Automated Software Tests, Command line, Version Control, Cloud Platforms
8/28/2018 9:20:52	1711211.07079015	Java, Python	Java, Python	Web Back-End Applications, Mobile Applications, Firmware	Object Oriented Programming, Web Design, Database Design, Command line, Cloud Platforms
8/28/2018 9:36:47	6417842.05043334	c++, python, ruby, javascript	python	Web Back-End Applications, Maths/Statistics/Data Science Coding, Database Driven Applications	Object Oriented Programming, Web Design, Database Design, Regular Expressions, Cloud Platforms
8/28/2018 10:01:13	9295127.48038641	HTML+CSS 	HTML+CSS 	Web Front-End Applications	Web Design
8/28/2018 12:58:06	7544264.63808746	BASIC, Pascal, APL, C, JavaScript, Python, PHP	PHP	Command line applications, Web Back-End Applications, Mobile Applications, Maths/Statistics/Data Science Coding, Firmware	Object Oriented Programming, Web Design, Regular Expressions, Command line
8/28/2018 13:24:33	2935440.76601313	Java, Python, C++, C, PHP	Java	Command line applications, Server-side Applications, Mobile Applications, Database Driven Applications	Object Oriented Programming, Database Design, Command line, Version Control, Cloud Platforms
8/28/2018 13:53:04	2165265.78946818	C, C++, C#, Java, Python, Javascript, HTML, CSS, React Native, Verilog	C++, Python	Command line applications, Desktop GUI applications, Web Front-End Applications, Web Back-End Applications, Mobile Applications, Maths/Statistics/Data Science Coding, Firmware	Object Oriented Programming, Unified Modeling Langauge, Web Design, Database Design, Automated Software Tests, Command line, Version Control
8/28/2018 14:11:18	4110278.04871959	C, Java, Python	C, Python	Command line applications, Desktop GUI applications, Web Front-End Applications, Mobile Applications	Object Oriented Programming, Web Design, Regular Expressions, Automated Software Tests, Command line, Version Control
8/28/2018 22:04:37	3034482.11706877	Java, JavaScript, PHP, Python, C#	Java	Command line applications, Desktop GUI applications, Web Front-End Applications, Web Back-End Applications, Mobile Applications, Database Driven Applications	Object Oriented Programming, Unified Modeling Langauge, Web Design, Database Design, Command line
8/29/2018 9:17:23	1066726.52581633	C#, Javascript, Python	C#, Javascript	Web Front-End Applications, Firmware	Web Design, Command line, Version Control
8/29/2018 17:39:53	1134495.93000487	C, R, Python, Javascript	R, Javascript	Web Back-End Applications, Maths/Statistics/Data Science Coding	Object Oriented Programming, Web Design, Cloud Platforms
8/30/2018 13:19:53	9956865.19253463	Python, C, javascript, java	Python	Desktop GUI applications, Web Front-End Applications, Mobile Applications, Maths/Statistics/Data Science Coding, IoT Software	Object Oriented Programming, Web Design, Command line, Version Control
8/31/2018 23:12:25	8461864.79019444	C, java, verilog	C, java	Command line applications, Firmware	Object Oriented Programming
9/1/2018 14:20:48	1124343.87688078	Java, C#, Javascript, R	C#	Web Front-End Applications, Web Back-End Applications, Maths/Statistics/Data Science Coding	Object Oriented Programming, Object Oriented Programming - Advanced, Unified Modeling Langauge, Web Design, Database Design, Regular Expressions, Cloud Platforms
9/3/2018 10:01:50	1844879.76571723	Python, Ruby, Java, C++	Python	Web Back-End Applications	Object Oriented Programming, Web Design, Regular Expressions, Command line, Version Control, Cloud Platforms
9/3/2018 14:48:01	6092389.61520995	Python, R	Python	Maths/Statistics/Data Science Coding	Object Oriented Programming, Web Design, Regular Expressions, Command line, Version Control
9/3/2018 20:07:51	4110531.7521366	Python, R 	R	Maths/Statistics/Data Science Coding	Regular Expressions
9/4/2018 7:32:51	9690401.97431533	C	C	not really creat	Cloud Platforms
9/4/2018 17:30:36	8963887.8005753	VB, C 	C	Maths/Statistics/Data Science Coding	Object Oriented Programming
9/4/2018 17:57:19	8923540.6235649	Python,R,Javascript	Python,R	Maths/Statistics/Data Science Coding	Object Oriented Programming, Cloud Platforms
9/4/2018 18:30:08	9981934.70357296	Java, C++, Javascript	Java	Web Front-End Applications, Mobile Applications	Object Oriented Programming, Web Design, Command line
9/6/2018 0:19:15	8805827.69888302	JAVA,C,C++	JAVA	Mobile Applications, IoT Software, Firmware	Object Oriented Programming, Unified Modeling Langauge, Command line
9/9/2018 20:36:46	5888552.14838213	Python, JavaScript, Ruby	Python	Web Front-End Applications, Web Back-End Applications, Maths/Statistics/Data Science Coding, Database Driven Applications	Object Oriented Programming, Unified Modeling Langauge, Web Design, Database Design, Regular Expressions, Version Control, Cloud Platforms
9/10/2018 13:44:10	7449653.08464722	c c++ python javascript html css java	c c++ python 	Web Front-End Applications, Web Back-End Applications, Server-side Applications	Object Oriented Programming, Web Design, Database Design, Version Control
9/11/2018 17:08:12	5344846.41173815	C++, Ruby, Python	C++, Ruby	Command line applications, Desktop GUI applications, Web Front-End Applications, Mobile Applications	Object Oriented Programming, Web Design, Command line, Version Control, Cloud Platforms
